Item Name,Variations,Quantity
"2PCS 14K Gold Filled Dolphin Charm 11x8mm, Pendant Findings for Jewelry Making","Quantity Discount:2pcs",4
"2PCS 14K Gold Filled Dolphin Charm 11x8mm, Pendant Findings for Jewelry Making","Quantity Discount:10pcs",1
"2PCS 14K Gold Filled Heart Charm 4.8x6mm, Pendant Findings for Jewelry Making","Quantity Discount:2pcs",4
"2PCS 14K Gold Filled Heart Charm 4.8x6mm, Pendant Findings for Jewelry Making","Quantity Discount:10pcs",1
"2PCS 14K Gold Filled Starfish Charm 9.8 x 7.9mm, Pendant Findings for Jewelry Making","Quantity Discount:2pcs",4
"2PCS 14K Gold Filled Starfish Charm 9.8 x 7.9mm, Pendant Findings for Jewelry Making","Quantity Discount:10pcs",1
"Ball End Ear Wire","Quantity Discount:2 Pairs",6
"Ball End Ear Wire","Quantity Discount:10 Pairs",3
"Ball Post Earrings","Quantity Discount:1 pair (2pcs)",5
"Ball Post Earrings","Quantity Discount:5 pairs (10pcs)",2
"Butterfly Charm","Quantity Discount:2pcs",4
"Butterfly Charm","Quantity Discount:10pcs",1
"CZ Stone Huggie Hoop Earrings","",0
"Chain Tab Connector","Color:Gold Filled, Quantity Discount:10pcs",3
"Chain Tab Connector","Color:Gold Filled, Quantity Discount:40pcs",6
"Chain Tab Connector","Color:Rose Gold Filled, Quantity Discount:10pcs",1
"Chunky Huggie Hoop Earrings","",4
"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:10pcs",5
"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:50pcs",3
"Clamshell Crimp Cover","Color:Rose gold filled, Quantity Discount:10pcs",2
"Clamshell Crimp Cover","Color:Rose gold filled, Quantity Discount:50pcs",1
"Clear CZ Charm","Quantity Discount:2pcs",4
"Clear CZ Charm","Quantity Discount:10pcs",0
"Cloud Shaped Earrings","",2
"Coin Pendant Earrings","Quantity Discount:2 pairs (4pcs)",7
"Coin Pendant Earrings","Quantity Discount:10 pairs (20pcs)",1
"Crimp Cover","Size:3mm, Quantity Discount:10pcs",5
"Crimp Cover","Size:3mm, Quantity Discount:50pcs",2
"Crimp Cover","Size:4mm, Quantity Discount:10pcs",2
"Crimp Cover","Size:4mm, Quantity Discount:50pcs",3
"Ear Hooks","Quantity Discount:2 Pairs",1
"Ear Hooks","Quantity Discount:10 Pairs",6
"Ear Hooks","Quantity Discount:40 Pairs",5
"Ear Hooks","Quantity Discount:100 pairs",1
