Item Name,Specs,Sales Quantity,Aft. Sale Inventory Quantity,Unit
"2 Pearl Drop - 14k Gold Filled Pearl Drop Studs, Round Real 2 Pearl Earrings, Dainty Pearl Jewelry",,,2,N/A
"After Moon - Chunky White Acetate Hoops, Resin Hoop Earrings, Everyday Minimal Earrings",,,1,N/A
"Alice in Wonderland - Card Holder & Keyring | Alice in Wonderland Purse | Card wallet, Card purse, Key chain, Key fob,  Key purse",,,1,N/A
"Alice in Wonderland - Clasp Coin Purse, Alice in Wonderland Purse, Alice in Wonderland Gift, Kisslock Coin Purse",,,7,N/A
"Amorfa - One Size Chunky Silver Ring, Adjustable 925 Sterling Silver Ring, Thick Silver Open Ring",,,7,N/A
"Baby Pearl - Small Baroque Pearl Studs, Sterling Silver Pearl Earring Studs, Dainty Pearl Earring Studs, Real Pearl JewelryMi",,,4,N/A
"Beaded Daisy - Sparkle Beaded Daisy Mask to Glass Chain, Mask Lanyard & Sunglasses Chain with Flower Beads, Spectacles Chain for Women",,,0,N/A
"Beaded Shield - Evil Eye Beaded Necklace Choker, Colorful Seed Bead Necklace with Charm, Beach Choker",,,4,N/A
"Bestie Pearl - Minimalist Freshwater Pearl Studs Earrings, Sterling Silver & Gold Vermeil Pearl Drop Earrings",,,7,N/A
"Black Beaded Mask to Glasses Chain with Pearls, Dainty Beaded Mask Lanyard & Sunglasses Chain",,,0,N/A
"Black Beaded Rainbow - Mask to Glasses Chain - Boho Beaded Sunglasses Chain & Mask Chain | Eyeglass Holder, Glasses Chain, Mask Lanyard",,,24,N/A
"Bold Grande - Pearl Mask to Glasses Chain, Chunky Double Layered Pearl Mask Lanyard & Sunglasses Chain, made with Acrylic Pearls",,,4,N/A
"Bumble Bee Brooch Pin, Gold Bee Brooch, Bumble Bee Gift Ideas",,,9,N/A
"CZ Star Charm, Celestial Starburst Earring Charms - Earring Builder",,,3,N/A
"Calista - Colorful Blue Tone Beaded Necklace with Charm, Beaded Necklace Choker for Women, Beach Choker",,,0,N/A
"Calla - Earth Tone Beaded Choker Necklace with Charm, Beach Choker made with Czech Beads",,,7,N/A
"Cara - Dainty Pearl Mask to Glasses chain, Mask Lanyard & Sunglasses Chain, Eyeglasses Holder, Gift for Her, made with Acrylic Pearls",,6,25,N/A
"Charlotte - Earth Tone Beaded Choker Necklace, Turquoise Beaded Necklace for Women",,,7,N/A
"Circle of Love - Heart Shaped Round Sunglasses, Trendy Cute Sunglasses for Women",,,143,N/A
