Item Name,Variations,Quantity
"2 Pearl Drop Earrings","",2
"Alice in Wonderland - Card Holder","Style:Card Pouch",0
"Alice in Wonderland - Card Holder","Style:Key Pouch",1
"Alice in Wonderland - Card Holder","Style:Card & Key Pouches",0
"Alice in Wonderland - Coin Purse","",7
"Amorfa - Silver Ring","",7
"Baby Pearl - Pearl Earrings","",4
"Beaded Shield - Beaded Necklace","",4
"Bestie Pearl - Pearl Earrings","Finish:Gold Vermeil",3
"Bestie Pearl - Pearl Earrings","Finish:Sterling Silver",4
"Black Beaded Rainbow Glasses Chain","",24
"Bold Grande - Beaded Necklace","",2
"Bumble Bee Brooch Pin","",9
"CZ Star Charm","",3
"Calista - Beaded Necklace","",0
"Calla - Beaded Necklace","",7
"Cara - Glasses Chain","",2
"Charlotte - Beaded Necklace","",7
"Classicworks - Pearl Earrings","",3
"Coin Charm","",3
"Cottageland - Beaded Glasses Chain","",3
"Dainty Baroque Pearl Ring","Ring Size:5 US",3
"Dainty Baroque Pearl Ring","Ring Size:6 US",4
"Dainty Baroque Pearl Ring","Ring Size:7 US",4
"Dainty Baroque Pearl Ring","Ring Size:8 US",3
"Dainty Pearl Drop Earrings","",9
"Dancing Paillettes - Brass Glasses Chain","",4
"Dancing Pearl - Pearl Necklace","",6
"Decorated Memory - Pearl Necklace","",1
"Deep State - Brass Glasses Chain","Style:Star Chain",5
"Deep State - Brass Glasses Chain","Style:Heart Chain",8
"Double Take - Brass Glasses Chain","",0
"Dreams of a Butterfly - Brass Glasses Chain","",2
"Dropping Gem - Gemstone Glasses Chain","Style:Style A: Multicolor",7
"Dropping Gem - Gemstone Glasses Chain","Style:Style B: Transparent",7
"Dropping Gem - Gemstone Glasses Chain","Style:Style C: Candy",6
"Duet - Acetate Earrings","",5
"Earth Tone Beaded Necklace","",4
"Endless Summer - Beaded Necklace","",3
"Fiesta - Pearl Necklace","",5
"Fine Sparkling - Brass Glasses Chain","",19
"Flower and Rabbit - Coin Purse","",2
"Glace - Silver Ring","",4
"Gold Filled Star and Moon Earring Charm","Style:2 Moon Charms",3
"Gold Filled Star and Moon Earring Charm","Style:2 Star Charms",3
"Gold Filled Star and Moon Earring Charm","Style:1 Moon & 1 Star",3
"Gold Linkage - Brass Glasses Chain","",4
"Gold Liquid - Brass Glasses Chain","",3
"Gold Shell and Starfish Earrring Charm","Style:2 Shell Charms",2
"Gold Shell and Starfish Earrring Charm","Style:2 Starfish Charms",2
"Gold Shell and Starfish Earrring Charm","Style:1 Shell & 1 Starfish",2
"Golden Path - Beaded Necklace","",5
"Hearty Pearl - Pearl Glasses Chain","Pearl Size:4mm Pearl",0
"Hearty Pearl - Pearl Glasses Chain","Pearl Size:6mm Pearl",5
"Identity Pearl - Pearl Earrings","Finish:Gold Vermeil, Pearl Size:Small Pearl",5
"Identity Pearl - Pearl Earrings","Finish:Gold Vermeil, Pearl Size:Large Pearl",2
"Identity Pearl - Pearl Earrings","Finish:Sterling Silver, Pearl Size:Small Pearl",3
"Identity Pearl - Pearl Earrings","Finish:Sterling Silver, Pearl Size:Large Pearl",5
"Leafy Green - Coin Purse","",1
