Sale Date,Item Name,Variations,Quantity
2022-06-16,"Dropping Gem - Gemstone Glasses Chain","Style:Style A: Multicolor",1
2022-06-16,"Dropping Gem - Gemstone Glasses Chain","Style:Style A: Multicolor",1
2022-06-16,"Earth Tone Beaded Necklace","",1
2022-06-15,"Cara - Glasses Chain","",1
2022-06-15,"Cara - Glasses Chain","",1
2022-06-15,"Dreams of a Butterfly - Brass Glasses Chain","",1
2022-06-15,"Deep State - Brass Glasses Chain","Style:Heart Chain",1
2022-06-15,"Cara - Glasses Chain","",1
2022-06-14,"Cara - Glasses Chain","",1
2022-06-14,"Cara - Glasses Chain","",1
2022-06-14,"Identity Pearl - Pearl Earrings","Finish:Gold Vermeil, Pearl Size:Small Pearl",1
2022-06-14,"La Grace - Beaded Choker","",1
2022-06-13,"Identity Pearl - Pearl Earrings","Finish:Gold Vermeil, Pearl Size:Large Pearl",1
2022-06-13,"Dancing Paillettes - Brass Glasses Chain","",1
2022-06-13,"Cara - Glasses Chain","",1
2022-06-13,"La Grace - Beaded Choker","",1
2022-06-13,"Decorated Memory - Pearl Necklace","",1
2022-06-13,"Dancing Paillettes - Brass Glasses Chain","",1
2022-06-13,"Cara - Glasses Chain","",1
2022-06-13,"Streaming Pearl - Pearl Glasses Chain","",1
2022-06-13,"Dancing Paillettes - Brass Glasses Chain","",1
2022-06-13,"Endless Summer - Beaded Necklace","",1
2022-06-12,"Strawberry - Brass Glasses Chain","",1
2022-06-12,"Cara - Glasses Chain","",2
2022-06-12,"Cara - Glasses Chain","",1
2022-06-12,"Strawberry - Brass Glasses Chain","",1
2022-06-12,"Deep State - Brass Glasses Chain","Style:Heart Chain",1
2022-06-12,"Cara - Glasses Chain","",1
2022-06-12,"The Coin - Brass Glasses Chain","",1
2022-06-12,"Cottageland - Beaded Glasses Chain","",1
2022-06-12,"Cara - Glasses Chain","",1
2022-06-11,"Dancing Paillettes - Brass Glasses Chain","",1
2022-06-11,"Cara - Glasses Chain","",1
2022-06-11,"Dancing Paillettes - Brass Glasses Chain","",1
2022-06-11,"Cara - Glasses Chain","",1
2022-06-11,"Cara - Glasses Chain","",1
2022-06-11,"Cara - Glasses Chain","",1
2022-06-10,"Gold Shell and Starfish Earrring Charm","Style:1 Shell &amp; 1 Starfish",1
2022-06-10,"Gold Linkage - Brass Glasses Chain","",1
2022-06-10,"La Grace - Beaded Choker","",1
2022-06-10,"Summer Pearls - Pearl Necklace","",1
2022-06-10,"Cara - Glasses Chain","",1
2022-06-10,"Cara - Glasses Chain","",1
2022-06-10,"Cara - Glasses Chain","",1
2022-06-10,"Summer Pearls - Pearl Necklace","",1
2022-06-09,"Cara - Glasses Chain","",1
2022-06-09,"Deep State - Brass Glasses Chain","Style:Star Chain",1
2022-06-09,"Cara - Glasses Chain","",1
2022-06-09,"Cara - Glasses Chain","",2
2022-06-09,"La Grace - Beaded Choker","",1
2022-06-09,"Summer Pearls - Pearl Necklace","",1
2022-06-09,"Cara - Glasses Chain","",1
2022-06-08,"Earth Tone Beaded Necklace","",1
2022-06-08,"Cara - Glasses Chain","",1
2022-06-08,"Cara - Glasses Chain","",1
2022-06-08,"La Grace - Beaded Choker","",1
2022-06-08,"Hearty Pearl - Pearl Glasses Chain","Pearl Size:6mm Pearl",1
2022-06-08,"Perfect Twist - Brass Earrings","",1
