Item Name,Specs,Sales Quantity,Aft. Sale Inventory Quantity,Unit
"2PCS 14K Gold Filled Dolphin Charm 11x8mm, Pendant Findings for Jewelry Making",,,18,pcs
"2PCS 14K Gold Filled Heart Charm 4.8x6mm, Pendant Findings for Jewelry Making",,,18,pcs
"2PCS 14K Gold Filled Starfish Charm 9.8 x 7.9mm, Pendant Findings for Jewelry Making",,,18,pcs
"Ball End Ear Wire",,12,34,pair
"Ball Post Earrings",,1,15,pair
"Butterfly Charm",,,18,pcs
"CZ Stone Huggie Hoop Earrings",,,0,N/A
"Chain Tab Connector",Color: gold filled,20,270,pcs
"Chain Tab Connector",Color: rose gold filled,,10,pcs
"Chunky Huggie Hoop Earrings",,,4,N/A
"Clamshell Crimp Cover",Color: gold filled,160,0,pcs
"Clamshell Crimp Cover",Color: rose gold filled,10,70,pcs
"Clear CZ Charm",,10,8,pcs
"Cloud Shaped Earrings",,,2,N/A
"Coin Pendant Earrings",,,24,pair
"Crimp Cover",Size: 3mm,190,100,pcs
"Crimp Cover",Size: 4mm,40,170,pcs
"Ear Hooks",,66,362,pair
"Ear Wire Beading Hoop",Size: 15mm,9,3,pair
"Ear Wire Beading Hoop",Size: 20mm,10,4,pair
"Ear Wire Beading Hoop",Size: 25mm,2,24,pair
"Ear Wire Beading Hoop",Size: 30mm,4,10,pair
"Ear Wire with Open Hoop",,2,16,pair
"Flower Shaped Pearl Ear Posting Finding",,,2,N/A
"Flower Shaped Rhinestone Earrings",,,3,N/A
"Gold Filled Beads",Size: 2.5mm,2050,2000,beads
"Gold Filled Beads",Size: 2mm,3400,800,beads
"Gold Filled Beads",Size: 3mm,2150,2500,beads
"Gold Filled Beads",Size: 4mm,1100,950,beads
"Gold Filled Beads",Size: 5mm,190,210,beads
"Gold Filled Butterfly Backing",,,15,pair
"Heart Earrings",,,9,N/A
"Huggie Hoop",,,18,pair
"Knot Earrings",,,16,pair
"Leaf Charm",,,18,pcs
"Leverback Earring",Style: a1: standard,,15,pair
"Leverback Earring",Style: a2: interchangable,5,0,pair
"Long Knot Earrings",,,24,pair
"Open Jump Ring",Size: 3mm 22ga (0.64mm),10,120,pcs
"Open Jump Ring",Size: 4mm 20ga (0.76mm),30,360,pcs
"Open Jump Ring",Size: 4mm 22ga (0.64mm),50,110,pcs
"Open Jump Ring",Size: 5mm 20ga (0.76mm),30,210,pcs
"Open Jump Ring",Size: 5mm 22ga (0.64mm),120,100,pcs
"Patterned Heart Earrings",,,3,N/A
"Patterned Square Earrings",,,30,pair
"Pearl Cup Post Earrings",,3,3,pair
"Rose Gold Filled Ball Post Earrings",,,10,pair
"Rose Gold Filled Beads",Size: 2mm,100,1200,beads
"Rose Gold Filled Beads",Size: 3mm,,1000,beads
"Rose Gold Filled Beads",Size: 4mm,25,100,beads
"Rose Gold Filled Butterfly Backing",,5,25,pair
"Rose Gold Filled Leverback Earrings",,,9,pair
"Round Circle Earrings",,,3,N/A
"Round Earrings with Rhinestones",,1,2,N/A
"Round Tag Disc",,,14,pcs
"Round Zircon Earrings",,,6,N/A
"Shell Charm",,10,6,pcs
"Shell Shaped Earrings",,,24,pair
"Spring Ring Clasp",Size: 5.5mm closed ring,25,55,pcs
"Spring Ring Clasp",Size: 5.5mm open ring,,85,pcs
"Spring Ring Clasp",Size: 5mm closed ring,45,20,pcs
"Spring Ring Clasp",Size: 5mm open ring,45,25,pcs
"Spring Ring Clasp",Size: 6mm closed ring,20,15,pcs
"Spring Ring Clasp",Size: 6mm open ring,25,40,pcs
"Star Earrings",,,3,N/A
"Star Heart Moon Charm",Style: heart,2,18,pcs
"Star Heart Moon Charm",Style: moon,12,12,pcs
"Star Heart Moon Charm",Style: star,10,10,pcs
"Star Rhinestone Earrings",,,5,N/A
"Starfish Zircon Earrings",,,3,N/A
"Sterling Silver Butterfly Backing",,,4,N/A
"Sterling Silver Ear Wire Beading Hoops",Size: 20mm,,8,pair
"Sterling Silver Ear Wire Beading Hoops",Size: 30mm,,10,pair
"Sterling Silver Leverback Earrings",,,4,N/A
"Sun Charm",,2,14,pcs
"Thin Hoop Earrings",Size: 12mm,5,5,pair
"Thin Hoop Earrings",Size: 14mm,3,2,pair
"Triangle Earrings",,,4,N/A
"Twisted Hoop Earrings",,,0,N/A
"Wheat Round Earrings",,,7,N/A
"Zircon Earrings",,,2,N/A
"Zircon Rhinestone Earrings",,,0,N/A
