Sale Date,Item Name,Variations,Quantity
2022-05-31,"Gold Filled Beads","Bead Size:4mm - 200 beads",1
2022-05-31,"Star Heart Moon Charm","Style:Star, Quantity Discount:10 pcs",1
2022-05-31,"Rose Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-31,"Gold Filled Beads","Bead Size:3mm - 400 beads",1
2022-05-31,"Gold Filled Beads","Bead Size:5mm - 80 beads",1
2022-05-31,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-31,"Gold Filled Beads","Bead Size:2.5mm - 50 beads",1
2022-05-31,"Crimp Cover","Size:3mm, Quantity Discount:50pcs",1
2022-05-31,"Rose Gold Filled Beads","Bead Size:4mm - 25 beads",1
2022-05-30,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-30,"Open Jump Ring","Size:3mm 22ga (0.64mm), Quantity Discount:10pcs",1
2022-05-30,"Open Jump Ring","Size:5mm 20ga (0.76mm), Quantity Discount:10pcs",1
2022-05-30,"Crimp Cover","Size:4mm, Quantity Discount:10pcs",1
2022-05-30,"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:10pcs",1
2022-05-30,"Gold Filled Beads","Bead Size:5mm - 10 beads",1
2022-05-30,"Open Jump Ring","Size:4mm 20ga (0.76mm), Quantity Discount:10pcs",1
2022-05-30,"Clear CZ Charm","Quantity Discount:10pcs",1
2022-05-29,"Ear Hooks","Quantity Discount:2 Pairs",1
2022-05-29,"Gold Filled Beads","Bead Size:4mm - 25 beads",1
2022-05-29,"Gold Filled Beads","Bead Size:4mm - 200 beads",1
2022-05-29,"Gold Filled Beads","Bead Size:2mm - 100 beads",2
2022-05-29,"Open Jump Ring","Size:5mm 20ga (0.76mm), Quantity Discount:10pcs",1
2022-05-29,"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:5pcs",1
2022-05-29,"Crimp Cover","Size:4mm, Quantity Discount:10pcs",2
2022-05-28,"Ear Wire Beading Hoop","Size:15mm, Quantity Discount:4 pairs",2
2022-05-28,"Crimp Cover","Size:3mm, Quantity Discount:50pcs",1
2022-05-28,"Ear Wire with Open Hoop","Quantity Discount:2 Pairs",1
2022-05-28,"Shell Charm","Quantity Discount:10pcs",1
2022-05-28,"Thin Hoop Earrings","Size:12mm, Quantity Discount:5 Pairs (10pcs)",1
2022-05-28,"Thin Hoop Earrings","Size:14mm, Quantity Discount:1 Pair (2pcs)",3
2022-05-28,"Spring Ring Clasp","Size:6mm closed ring, Quantity Discount:20pcs",1
2022-05-27,"Open Jump Ring","Size:5mm 20ga (0.76mm), Quantity Discount:10pcs",1
2022-05-26,"Gold Filled Beads","Bead Size:4mm - 100 beads",1
2022-05-26,"Gold Filled Beads","Bead Size:5mm - 40 beads",1
2022-05-26,"Gold Filled Beads","Bead Size:3mm - 200 beads",1
2022-05-26,"Gold Filled Beads","Bead Size:2.5mm - 200 beads",1
2022-05-26,"Gold Filled Beads","Bead Size:5mm - 10 beads",1
2022-05-25,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-25,"Gold Filled Beads","Bead Size:2.5mm - 200 beads",1
2022-05-25,"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:10pcs",3
2022-05-24,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-24,"Star Heart Moon Charm","Style:Moon, Quantity Discount:10 pcs",1
2022-05-23,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-23,"Gold Filled Beads","Bead Size:2.5mm - 50 beads",1
2022-05-23,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-23,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-23,"Open Jump Ring","Size:4mm 22ga (0.64mm), Quantity Discount:50pcs",1
2022-05-23,"Spring Ring Clasp","Size:5mm closed ring, Quantity Discount:20pcs",1
2022-05-22,"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:10pcs",2
2022-05-21,"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:5pcs",1
2022-05-21,"Spring Ring Clasp","Size:5mm closed ring, Quantity Discount:5pcs",1
2022-05-21,"Ball Post Earrings","Quantity Discount:1 pair (2pcs)",1
2022-05-20,"Gold Filled Beads","Bead Size:2mm - 400 beads",1
2022-05-20,"Gold Filled Beads","Bead Size:2.5mm - 500 beads",1
2022-05-20,"Gold Filled Beads","Bead Size:4mm - 25 beads",2
2022-05-20,"Ear Hooks","Quantity Discount:10 Pairs",1
2022-05-20,"Gold Filled Beads","Bead Size:3mm - 200 beads",1
2022-05-20,"Gold Filled Beads","Bead Size:4mm - 100 beads",1
2022-05-20,"Gold Filled Beads","Bead Size:5mm - 10 beads",2
2022-05-20,"Gold Filled Beads","Bead Size:2.5mm - 50 beads",2
2022-05-20,"Clamshell Crimp Cover","Color:Gold filled, Quantity Discount:50pcs",1
2022-05-20,"Gold Filled Beads","Bead Size:2.5mm - 200 beads",1
2022-05-20,"Crimp Cover","Size:3mm, Quantity Discount:10pcs",2
2022-05-20,"Gold Filled Beads","Bead Size:4mm - 25 beads",1
2022-05-20,"Gold Filled Beads","Bead Size:5mm - 10 beads",1
2022-05-20,"Ear Wire Beading Hoop","Size:20mm, Quantity Discount:10 pairs",1
2022-05-19,"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:5pcs",1
2022-05-19,"Spring Ring Clasp","Size:5.5mm closed ring, Quantity Discount:20pcs",1
2022-05-18,"Open Jump Ring","Size:5mm 22ga (0.64mm), Quantity Discount:10pcs",1
2022-05-18,"Ball End Ear Wire","Quantity Discount:2 Pairs",1
2022-05-18,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-17,"Gold Filled Beads","Bead Size:4mm - 100 beads",1
2022-05-16,"Star Heart Moon Charm","Style:Moon, Quantity Discount:2 pcs",1
2022-05-16,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-16,"Gold Filled Beads","Bead Size:5mm - 10 beads",1
2022-05-16,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-16,"Gold Filled Beads","Bead Size:2.5mm - 200 beads",1
2022-05-16,"Gold Filled Beads","Bead Size:3mm - 200 beads",1
2022-05-16,"Star Heart Moon Charm","Style:Heart, Quantity Discount:2 pcs",1
2022-05-16,"Gold Filled Beads","Bead Size:2.5mm - 200 beads",1
2022-05-16,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-16,"Gold Filled Beads","Bead Size:4mm - 25 beads",1
2022-05-16,"Gold Filled Beads","Bead Size:2mm - 100 beads",2
2022-05-16,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-16,"Gold Filled Beads","Bead Size:2.5mm - 50 beads",1
2022-05-15,"Spring Ring Clasp","Size:5mm closed ring, Quantity Discount:20pcs",1
2022-05-15,"Gold Filled Beads","Bead Size:4mm - 200 beads",1
2022-05-15,"Gold Filled Beads","Bead Size:2mm - 400 beads",1
2022-05-15,"Ear Hooks","Quantity Discount:2 Pairs",2
2022-05-15,"Crimp Cover","Size:3mm, Quantity Discount:10pcs",1
2022-05-15,"Gold Filled Beads","Bead Size:3mm - 200 beads",1
2022-05-13,"Open Jump Ring","Size:5mm 22ga (0.64mm), Quantity Discount:50pcs",1
2022-05-13,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-13,"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:5pcs",1
2022-05-13,"Gold Filled Beads","Bead Size:5mm - 10 beads",1
2022-05-13,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-13,"Gold Filled Beads","Bead Size:4mm - 25 beads",3
2022-05-12,"Spring Ring Clasp","Size:6mm open ring, Quantity Discount:20pcs",1
2022-05-12,"Gold Filled Beads","Bead Size:2mm - 100 beads",1
2022-05-12,"Rose Gold Filled Butterfly Backing","Quantity Discount:5 pairs (10pcs)",1
2022-05-12,"Clamshell Crimp Cover","Color:Rose gold filled, Quantity Discount:10pcs",1
2022-05-11,"Leverback Earring","Style:A2: Interchangable, Quantity Discount:4 pairs",1
2022-05-11,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-11,"Gold Filled Beads","Bead Size:2.5mm - 50 beads",1
2022-05-11,"Spring Ring Clasp","Size:5.5mm closed ring, Quantity Discount:5pcs",1
2022-05-10,"Ear Hooks","Quantity Discount:10 Pairs",1
2022-05-10,"Ball End Ear Wire","Quantity Discount:10 Pairs",1
2022-05-09,"Open Jump Ring","Size:5mm 22ga (0.64mm), Quantity Discount:50pcs",1
2022-05-09,"Ear Wire Beading Hoop","Size:15mm, Quantity Discount:1 pair",1
2022-05-09,"Ear Wire Beading Hoop","Size:25mm, Quantity Discount:1 pair",2
2022-05-09,"Gold Filled Beads","Bead Size:3mm - 50 beads",1
2022-05-09,"Pearl Cup Post Earrings","Quantity Discount:3 pairs (6pcs)",1
2022-05-09,"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:5pcs",1
2022-05-09,"Gold Filled Beads","Bead Size:2mm - 100 beads",2
2022-05-09,"Gold Filled Beads","Bead Size:3mm - 200 beads",1
2022-05-09,"Round Earrings with Rhinestones","",1
2022-05-09,"Leverback Earring","Style:A2: Interchangable, Quantity Discount:1 pair",1
2022-05-08,"Spring Ring Clasp","Size:5mm open ring, Quantity Discount:20pcs",1
2022-05-08,"Spring Ring Clasp","Size:6mm open ring, Quantity Discount:5pcs",1
2022-05-08,"Gold Filled Beads","Bead Size:2.5mm - 50 beads",1
2022-05-08,"Chain Tab Connector","Color:Gold Filled, Quantity Discount:10pcs",2
